Partner,Dependents,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,Churn,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,1,1,1,0,1,0,0,0,1,0,0,1,0
1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,1,1,1,1,0,0,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
1,1,1,1,1,0,0,0,0,0,1,0,0,0,1
0,0,1,1,1,1,1,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,1,1,0,0,0,1,0,0,0,0,0,1
1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1,1,1,1,1,1,1,0,1,0,0,1,0,1,0
0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,1,1,1,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0,1,0,0,0,0,1,1,1,0,0,1,0,0,0
0,0,0,1,0,0,1,1,1,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
1,1,1,0,1,1,0,1,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,1,1,1,0,0,0,1,0,0,0,0,1,0
0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,1,1,0,1,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,1,0,1,0,1
0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
1,0,1,0,1,1,0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
1,1,1,0,0,1,1,0,0,0,0,1,0,1,0
0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,1,1,1,0,1,0,1,0,0,0,0,0,1
1,0,1,1,0,1,0,0,1,0,0,0,0,0,1
1,0,1,1,1,1,1,0,1,0,0,1,0,0,1
1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,1,1,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,1,0,1,1,1,0,0,0,1,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
1,1,1,0,1,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,1,0,0,0,0,1,1,0,1,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,1,1,0,1,1,0,0,0,0,0,0,0,1
0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,0,1,0,1,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
1,1,1,1,1,1,0,0,1,0,0,1,0,0,1
1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
0,0,0,1,1,0,1,0,0,1,0,1,0,1,0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
0,0,0,1,1,0,1,1,0,0,0,1,0,0,0
1,0,1,1,1,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,1,1,1,0,1,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
1,1,0,0,1,0,1,1,0,1,0,1,0,0,0
1,1,0,0,1,1,1,1,0,0,0,1,0,0,0
1,1,0,0,0,0,1,1,0,0,1,0,1,0,0
1,1,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,1,1,1,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
0,0,1,1,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
1,0,1,1,0,1,1,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
0,0,1,1,1,1,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
0,0,0,1,1,1,1,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,1,1,0,0,1,0,0,0,0,0,1,0,0,1
1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,1,0,0,1,1,1,0,0,0,0,1,0,0,0
0,1,0,1,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
1,1,0,1,1,1,0,0,1,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,1,1,1,1,1,0,0,0,0,1,0
0,0,0,1,1,0,1,0,0,0,1,1,0,1,0
0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1,1,0,1,1,1,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
1,0,0,0,1,1,1,1,1,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,1,0,1,0,0,1,1,0,0,0,1,0,0,0
1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
1,1,0,1,0,1,1,0,0,0,0,1,0,0,1
1,1,0,1,1,0,1,1,0,0,0,1,0,0,0
1,0,1,1,1,0,1,1,0,1,0,1,0,1,0
1,1,1,0,0,1,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1,1,0,1,1,0,0,0,1,0,0,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1,1,1,0,1,1,0,0,0,0,1,0,0,0,1
1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,1,1,0,1,0,1,0,0,1
0,0,0,0,1,0,1,1,0,0,1,1,0,0,0
1,1,0,1,0,0,0,1,0,0,1,1,0,1,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,1,0,0,1,1,1,1,0,0,1,1,0,0,0
1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
1,0,1,1,1,0,1,1,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,0,1,0,1,0,1,0,1,0
1,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1,1,1,1,1,1,0,0,0,0,1,1,0,0,1
0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,0,0,1,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1,1,1,1,1,1,1,0,0,0,0,1,0,0,1
0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,1,1,0,0,1,1,1,0,0,1,0,1,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
1,1,1,1,1,0,1,0,0,0,0,0,0,1,0
0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
1,1,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0,0,1,0,1,1,1,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,1,1,1,0,1,0,0,0,0,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,1,0,0,1,0,1,0,0,0
1,1,1,1,1,1,0,0,0,1,0,0,0,0,1
1,1,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
1,1,1,0,0,1,1,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0,1,0,1,0,1
1,0,0,1,1,0,1,0,0,0,0,1,0,1,0
0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
1,1,0,1,0,1,0,0,1,0,0,1,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,1,1,0,1,1,1,1,0,0,1,0,0,0
0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,1,1,1,0,0,1,0,0,0,1,0,0,1,0
1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
1,0,1,1,1,0,1,0,1,0,0,0,0,0,1
1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,1,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,1,1,1,1,0,0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1,0,0,0,0,1,1,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
1,0,1,0,1,1,1,1,0,1,0,1,0,1,0
0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,1,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,1,0,1,1,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
0,0,1,1,1,1,1,0,0,1,0,1,0,0,1
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,1,1,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
1,1,1,0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,1,0,1,1,0,1,0,0,0,1,0
1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
1,1,1,0,1,1,0,0,1,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,1,0,1
1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,1,0,1,0,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,0,1,1,1,1,1,0,1,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,1,0,1,0,0,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,0,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,0,0,1,1,0,1,0,0,0,0,1,0,1,0
1,1,1,0,1,1,1,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,1,0,1,1,0,1,0,1,0,0,0
1,1,1,1,1,1,1,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1,0,1,1,1,1,1,0,0,1,0,1,0,1,0
1,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1,0,0,0,0,0,1,1,0,0,1,1,0,0,0
1,0,1,0,1,1,0,0,0,0,1,0,0,0,1
0,0,1,0,1,1,1,0,0,1,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
1,1,0,0,0,0,1,0,1,0,0,0,1,0,1
1,0,1,1,1,0,1,0,1,0,0,1,0,0,1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
1,0,0,1,1,1,1,0,1,0,0,1,0,0,1
1,1,0,1,1,1,1,0,1,0,0,0,0,1,0
1,1,0,0,1,1,1,0,0,1,0,1,0,0,1
0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,1,0,1,0,1,0,0,0
1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,1,1,1,1,1,0,0,1,0,1,0,0,1
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,1,1,1,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1,0,1,1,1,1,1,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,1,0,0,1,1,1,0,0,0,1,0,0,1,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,1,1,0,0,1,1,0,0,0
1,1,1,1,1,1,1,0,1,0,0,1,0,1,0
1,1,1,1,1,0,1,1,0,1,0,1,0,1,0
0,0,0,1,1,0,1,0,0,1,0,1,0,1,0
1,0,0,1,1,0,1,1,0,0,0,1,0,0,0
1,0,0,0,1,0,1,1,0,1,0,1,0,0,0
1,0,0,0,1,0,1,1,0,1,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
1,0,1,0,1,0,1,0,0,0,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
1,0,1,0,1,1,1,0,0,0,0,0,0,0,1
0,0,1,0,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,1,1,0,0,1,0,0,0,0,0,1
1,1,1,0,1,1,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
1,1,1,1,1,1,0,0,1,0,0,0,0,0,1
1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
0,0,0,1,0,0,1,1,0,1,0,1,0,0,0
1,0,0,1,0,0,1,1,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,1,1,0,0,1,0,0,0,0,1,0,0,0,1
1,1,0,0,0,0,1,0,0,1,0,0,1,1,0
1,0,0,1,0,1,1,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
1,1,0,1,0,1,0,0,0,0,1,0,0,0,1
1,1,1,1,1,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
1,1,0,1,1,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
1,1,0,0,0,0,1,0,1,0,0,0,1,0,1
1,1,0,0,0,0,0,0,0,1,0,0,1,1,0
1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0,0,1,1,0,1,1,1,0,0,1,0,0,1,0
1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
1,1,1,0,1,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
